date,value
Mar-97,6.05
Apr-97,6.04
May-97,5.87
Jun-97,5.35
Jul-97,5.19
Aug-97,4.9
Sep-97,4.77
Oct-97,4.83
Nov-97,4.95
Dec-97,5.07
Jan-98,4.99
Feb-98,4.97
Mar-98,4.96
Apr-98,4.92
May-98,4.96
Jun-98,5.32
Jul-98,5.17
Aug-98,5.19
Sep-98,5.03
Oct-98,4.83
Nov-98,4.88
Dec-98,4.8
Jan-99,4.79
Feb-99,4.77
Mar-99,4.81
Apr-99,4.76
May-99,4.86
Jun-99,4.93
Jul-99,4.89
Aug-99,4.92
Sep-99,5.01
Oct-99,5.31
Nov-99,5.44
Dec-99,5.65
Jan-00,5.66
Feb-00,5.8
Mar-00,5.89
Apr-00,6.04
May-00,6.31
Jun-00,6.23
Jul-00,6.2
Aug-00,6.49
Sep-00,6.57
Oct-00,6.41
Nov-00,6.33
Dec-00,6.2
Jan-01,5.91
Feb-01,5.59
Mar-01,5.14
Apr-01,4.86
May-01,4.89
Jun-01,4.97
Jul-01,5.04
Aug-01,4.95
Sep-01,4.55
Oct-01,4.36
Nov-01,4.28
Dec-01,4.25
Jan-02,4.26
Feb-02,4.31
Mar-02,4.46
Apr-02,4.59
May-02,4.84
Jun-02,5.07
Jul-02,4.98
Aug-02,4.96
Sep-02,4.92
Oct-02,4.9
Nov-02,4.84
Dec-02,4.83
Jan-03,4.8
Feb-03,4.75
Mar-03,4.76
Apr-03,4.79
May-03,4.78
Jun-03,4.67
Jul-03,4.72
Aug-03,4.82
Sep-03,4.91
Oct-03,4.97
Nov-03,5.31
Dec-03,5.47
Jan-04,5.55
Feb-04,5.57
Mar-04,5.51
Apr-04,5.54
May-04,5.51
Jun-04,5.49
Jul-04,5.46
Aug-04,5.44
Sep-04,5.42
Oct-04,5.41
Nov-04,5.43
Dec-04,5.41
Jan-05,5.42
Feb-05,5.63
Mar-05,5.81
Apr-05,5.75
May-05,5.68
Jun-05,5.66
Jul-05,5.65
Aug-05,5.62
Sep-05,5.62
Oct-05,5.63
Nov-05,5.63
Dec-05,5.63
Jan-06,5.63
Feb-06,5.61
Mar-06,5.61
Apr-06,5.69
May-06,5.87
Jun-06,5.96
Jul-06,6.05
Aug-06,6.19
Sep-06,6.21
Oct-06,6.28
Nov-06,6.37
Dec-06,6.39
Jan-07,6.43
Feb-07,6.37
Mar-07,6.43
Apr-07,6.48
May-07,6.37
Jun-07,6.42
Jul-07,6.47
Aug-07,6.75
Sep-07,6.94
Oct-07,6.91
Nov-07,7.15
Dec-07,7.29
Jan-08,7.18
Feb-08,7.69
Mar-08,7.9
Apr-08,7.84
May-08,7.75
Jun-08,7.81
Jul-08,7.75
Aug-08,7.31
Sep-08,7.27
Oct-08,6.03
