date,value
Apr-00,11164
May-00,11328
Jun-00,12242
Jul-00,10943
Aug-00,11519
Sep-00,11736
Oct-00,11627
Nov-00,11630
Dec-00,11784
Jan-01,11896
Feb-01,12096
Mar-01,12176
Apr-01,12250
May-01,12283
Jun-01,12366
Jul-01,12436
Aug-01,12443
Sep-01,12462
Oct-01,12627
Nov-01,12705
Dec-01,12851
Jan-02,13019
Feb-02,12975
Mar-02,13069
Apr-02,13173
May-02,13382
Jun-02,13272
Jul-02,13351
Aug-02,13485
Sep-02,13526
Oct-02,13474
Nov-02,13756
Dec-02,13724
Jan-03,13743
Feb-03,13747
Mar-03,13844
Apr-03,13995
May-03,14093
Jun-03,14075
Jul-03,14305
Aug-03,14397
Sep-03,14579
Oct-03,14734
Nov-03,14916
Dec-03,14886
Jan-04,15030
Feb-04,15039
Mar-04,15149
Apr-04,15116
May-04,15208
Jun-04,15367
Jul-04,15355
Aug-04,15348
Sep-04,15614
Oct-04,15459
Nov-04,15435
Dec-04,15429
Jan-05,15439
Feb-05,15583
Mar-05,15539
Apr-05,15407
May-05,15591
Jun-05,15732
Jul-05,15706
Aug-05,15811
Sep-05,15804
Oct-05,15793
Nov-05,15872
Dec-05,15935
Jan-06,16043
Feb-06,16184
Mar-06,16263
Apr-06,16457
May-06,16520
Jun-06,16646
Jul-06,16677
Aug-06,16743
Sep-06,16816
Oct-06,16991
Nov-06,17002
Dec-06,17050
Jan-07,17237
Feb-07,17440
Mar-07,17665
Apr-07,17542
May-07,17544
Jun-07,17818
Jul-07,17959
Aug-07,18063
Sep-07,18259
Oct-07,18297
Nov-07,18401
Dec-07,18473
Jan-08,18434
Feb-08,18408
Mar-08,18473
Apr-08,18499
May-08,18522
Jun-08,18393
Jul-08,18682
Aug-08,18603
Sep-08,18521
Oct-08,18705
Nov-08,18761
Dec-08,19531
Jan-09,19465
Feb-09,19212
Mar-09,19719
Apr-09,19744
May-09,19940
Jun-09,19833
Jul-09,19593
Aug-09,19660
Sep-09,19649
Oct-09,19756
Nov-09,20134
Dec-09,19991
Jan-10,20053
Feb-10,19892
Mar-10,19938
Apr-10,20161
May-10,20201
Jun-10,20277
Jul-10,20386
Aug-10,20443
Sep-10,20428
Oct-10,20240
Nov-10,20372
Dec-10,20447
Jan-11,20435
Feb-11,20635
Mar-11,20514
Apr-11,20734
May-11,20655
Jun-11,20590
Jul-11,20778
Aug-11,20896
Sep-11,20888
Oct-11,20968
Nov-11,21008
Dec-11,21039
Jan-12,20965
Feb-12,21027
Mar-12,21242
Apr-12,21279
May-12,21453
Jun-12,21710
Jul-12,21575
Aug-12,21598
Sep-12,21685
Oct-12,21621
Nov-12,21569
Dec-12,21610
Jan-13,21737
Feb-13,21988
Mar-13,21863
Apr-13,21879
May-13,22003
Jun-13,21992
Jul-13,22040
Aug-13,22204
Sep-13,22359
Oct-13,22432
Nov-13,22630
Dec-13,22880
Jan-14,23093
Feb-14,23092
Mar-14,23100
Apr-14,23158
May-14,23109
Jun-14,23225
Jul-14,23398
Aug-14,23436
Sep-14,23699
Oct-14,23770
Nov-14,23779
Dec-14,23840
Jan-15,23972
Feb-15,24142
Mar-15,24136
Apr-15,24181
May-15,24238
Jun-15,24386
Jul-15,24463
Aug-15,24560
Sep-15,24652
Oct-15,24757
Nov-15,24836
Dec-15,24897
Jan-16,24989
Feb-16,24984
Mar-16,25111
Apr-16,25085
May-16,25039
Jun-16,25153
Jul-16,25144
Aug-16,25337
Sep-16,25583
Oct-16,25576
Nov-16,25646
Dec-16,25673
Jan-17,25738
Feb-17,25664
Mar-17,25666
Apr-17,25878
May-17,25969
Jun-17,26033
Jul-17,26035
Aug-17,25902
Sep-17,25960
Oct-17,26018
Nov-17,26319
Dec-17,26348
Jan-18,26327
Feb-18,26430
Mar-18,26422
Apr-18,26549
May-18,26647
Jun-18,26717
Jul-18,26756
Aug-18,26901
Sep-18,26938
Oct-18,27039
Nov-18,27013
Dec-18,27070
Jan-19,27112
Feb-19,27271
Mar-19,27318
Apr-19,27253
May-19,27310
Jun-19,27378
Jul-19,27429
Aug-19,27537
Sep-19,27620
Oct-19,27660
Nov-19,27891
Dec-19,27768
Jan-20,27658
Feb-20,27792
Mar-20,30031
Apr-20,24797
May-20,28835
Jun-20,29660
Jul-20,30753
Aug-20,29469
Sep-20,29229
Oct-20,29618
Nov-20,31556
Dec-20,30517
Jan-21,30570
Feb-21,30333
Mar-21,30726
Apr-21,30960
May-21,31008
Jun-21,30564
Jul-21,29761
Aug-21,29262
Sep-21,29757
Oct-21,31133
Nov-21,33345
Dec-21,31968
Jan-22,32492
Feb-22,33085
